Quarter,Campus,Item,Course.ID,Title,CREDIT,TYPE.days,Time,Room,Instructor,Enrolled,divider,classCap,Wait.List,FTES.TOTAL,FTES.STATE,Clustered,Type
Fall 2012,North,6577,PEC 136  01,YOGA,2,MWF,8:00 AM,WC 0827D,Jhill ,20,/,20,0,2.7,0.8,,
Fall 2012,North,6578,PEC 136  02,YOGA,2,MWF,9:00 AM,WC 0827D,Jhill ,23,/,20,0,3.1,1.3,,
Fall 2012,North,6579,PEC 136  03,YOGA,2,MW,2:00 PM,WC 0827D,Jhill ,24,/,20,2,3.2,1.9,,
Fall 2012,North,6580,PEC 136  04,YOGA,2,TTh,4:00 PM,WC 0827D,Jhill ,24,/,20,1,3.2,1.7,,
Fall 2012,North,6581,PEC 150  01,BEGIN. PHYSICAL FITNESS,2,MW,1:00 PM,WC 0829B,Jblodgett ,16,/,0,0,2.1,0.7,6581B232,
Fall 2012,North,6582,PEC 151  01,INTERMED PHYSICAL FITNES,2,MW,1:00 PM,WC 0829B,Jblodgett ,3,/,0,0,0.4,0.3,6581B232,
Fall 2012,North,6583,PEC 155  02,FIRST AID & PERSONAL SAF,3,Other,1:00 PM,WC 0827A,Bkay ,12,/,25,0,2.4,1.8,,
Fall 2012,North,6584,PEC 180  01,TOTAL BODY TRAINING,2,MWF,10:00 AM,WC 0827D,Troot ,18,/,20,0,2.4,1.2,,
Fall 2012,North,6585,PEC 298  01,YOGA PILATES,2,TTh,2:00 PM,WC 0827D,Cancel 5/24,0,/,20,0,0,0,,
Fall 2012,North,6587,PEC 299  01,INDEPENDENT FITNESS,2,Sa,9:00 AM,WC 0827A,Lchristine ,22,/,25,0,2.9,2.1,,
Fall 2012,North,6588,PEC 298  03,CLASSIC/CONTEMP DANCE,2,MWF,11:00 AM,WC 0827D,Cancel 9/14,0,/,20,0,0,0,,
Fall 2012,North,6589,PEC 139  01,YOGA PILATES,2,TTh,2:00 PM,WC 0827D,Troot ,22,/,20,0,2.9,1.7,,
Fall 2012,North,6600,AMA 100  02,INTRO TO HEALTHCARE,1,Arr,AR:R M,IB 1318,Mallen ,11,/,0,0,0.7,0.7,,
Fall 2012,North,6601,AMA 101  02,COMMUNICATIONS IN HEALTH,2,Arr,AR:R M,IB 1318,Sstufflebeam,13,/,0,0,1.7,1.7,6601B232,
Fall 2012,North,6602,AMA 102  02,LEGAL CONCEPTS,1,Arr,AR:R M,IB 1318,Sstufflebeam,2,/,0,0,0.1,0.1,6601B232,
Fall 2012,North,6603,AMA 103  02,ETHICAL CONCEPTS,1,Arr,AR:R M,IB 1318,Sstufflebeam,3,/,0,0,0.2,0.2,6601B232,
Fall 2012,North,6604,AMA 104  02,OFFICE EMERGENCIES,2,Arr,AR:R M,IB 1318,Sstufflebeam,16,/,0,0,2.1,2.1,,
Fall 2012,North,6605,AMA 105  02,ASEPSIS & INFECTION CONT,1,Arr,AR:R M,IB 1318,Mallen ,9,/,0,0,0.6,0.6,,
Fall 2012,North,6606,AMA 106  02,PATIENT HISTORY,1,Arr,AR:R M,IB 1318,Sstufflebeam,13,/,0,0,0.9,0.9,,
Fall 2012,North,6607,AMA 107  02,VITAL SIGNS/MEASURMENTS,1,Arr,AR:R M,IB 1318,Sstufflebeam,6,/,0,0,0.4,0.4,6607B232,
Fall 2012,North,6608,AMA 108  02,NUTRITION & DEV BASICS,1,Arr,AR:R M,IB 1318,Sstufflebeam,3,/,0,0,0.2,0.2,6607B232,
Fall 2012,North,6609,AMA 109  02,PHARMACOLOGY,1,Arr,AR:R M,IB 1318,Sstufflebeam,0,/,0,0,0,0,6607B232,
Fall 2012,North,6610,AMA 110  02,INTRO TO LAB SAFETY,1,Arr,AR:R M,IB 1318,Mallen ,2,/,0,0,0.1,0.1,6610B232,
Fall 2012,North,6611,AMA 112  02,CREDENTIALS & EMPLOYMENT,1,Arr,AR:R M,IB 1318,Mallen ,10,/,0,0,0.7,0.7,6610B232,
Fall 2012,North,6612,AMA 114  02,BASIC PSYCHOLOGY PRINCIP,1,Arr,AR:R M,IB 1318,Mallen ,4,/,0,0,0.3,0.3,6610B232,
Fall 2012,North,6613,AMA 115  02,HIV/AIDS,1,Arr,AR:R M,IB 1318,Mallen ,4,/,0,0,0.3,0.3,6610B232,
Fall 2012,North,6614,AMA 116  02,PRINC OF IV THERAPY,1,Arr,AR:R M,IB 1318,Mallen ,6,/,0,0,0.4,0.4,6610B232,
Fall 2012,North,6615,AMA 120  02,FRONT OFFICE BASICS,1,Arr,AR:R M,IB 1318,Mcrichton ,14,/,0,0,0.9,0.9,,
Fall 2012,North,6616,AMA 121  02,PATIENT SCHEDULING,1,Arr,AR:R M,IB 1318,Mcrichton ,13,/,0,0,0.9,0.9,,
Fall 2012,North,6617,AMA 122  02,MED RECORDS & CORRESPOND,1,Arr,AR:R M,IB 1318,Mcrichton ,14,/,0,0,0.9,0.9,,
Fall 2012,North,6618,AMA 123  02,DAILY FINANCIAL MANAGEME,1,Arr,AR:R M,IB 1318,Mcrichton ,16,/,0,0,1.1,1.1,,
Fall 2012,North,6619,AMA 125  02,INTRO TO MED INS CODING,2,Arr,AR:R M,IB 1318,Mcrichton ,13,/,0,0,1.7,1.7,,
Fall 2012,North,6620,AMA 170  02,AP/TERMINOLOGY/PATHGY 1,2,Arr,AR:R M,IB 1318,Mcrichton ,3,/,0,0,0.4,0.4,6620B232,
Fall 2012,North,6621,AMA 171  02,AP/TERMINOLOGY/PATHGY 2,1,Arr,AR:R M,IB 1318,Mcrichton ,3,/,0,0,0.2,0.2,6620B232,
Fall 2012,North,6622,AMA 172  02,AP/TERMINOLOGY/PATHGY 3,1,Arr,AR:R M,IB 1318,Mcrichton ,3,/,0,0,0.2,0.2,6620B232,
Fall 2012,North,6623,AMA 173  02,AP/TERMINOLOGY/PATHGY 4,1,Arr,AR:R M,IB 1318,Mcrichton ,3,/,0,0,0.2,0.2,6620B232,
Fall 2012,North,6624,AMA 174  02,AP/TERMINOLOGY/PATHGY 5,1,Arr,AR:R M,IB 1318,Mcrichton ,3,/,0,0,0.2,0.2,6620B232,
