JOB,BASE SALARY,SRV YEARS ,PROG SYMBOL,PROGRAM,WEEKLY LOAD ,LAB
FTF COMPUTING/COMPUTERS,63712,25,ITC,INFORMATION TECHNOLOGIES ,15,p
FTF COOKING,57814,5,HOS,HOSPITATLITY ,25,N
FTF COOKING,59195,9,HOS,HOSPITATLITY ,25,N
FTF COOKING,72788,32,HOS,HOSPITATLITY ,25,N
FTF COUNSELORS,52543,4,COU,COUNSELING ,30,N
FTF COUNSELORS,55984,1,COU,COUNSELING ,30,N
FTF COUNSELORS,56013,10,COU,COUNSELING ,30,N
FTF COUNSELORS,58623,13,COU,COUNSELING ,30,N
FTF COUNSELORS,58650,14,COU,COUNSELING ,30,N
FTF COUNSELORS,60384,15,COU,COUNSELING ,30,N
FTF COUNSELORS,61749,18,COU,COUNSELING ,30,N
FTF COUNSELORS,61948,19,COU,COUNSELING ,30,N
FTF COUNSELORS,63331,17,COU,COUNSELING ,30,N
FTF COUNSELORS,64970,27,COU,COUNSELING ,30,N
FTF COUNSELORS,66096,18,COU,COUNSELING ,30,N
FTF COUNSELORS,70741,25,COU,COUNSELING ,30,N
FTF COUNSELORS,71987,46,COU,COUNSELING ,30,N
FTF COUNSELORS,74285,31,COU,COUNSELING ,30,N
FTF CULINARY,57622,6,HOS,HOSPITATLITY ,25,N
FTF CULINARY,57922,5,HOS,HOSPITATLITY ,25,N
FTF CULINARY,58809,5,HOS,HOSPITATLITY ,25,N
FTF CULINARY,59767,9,HOS,HOSPITATLITY ,25,N
FTF CULINARY,61200,22,HOS,HOSPITATLITY ,25,N
FTF CULINARY,61867,23,HOS,HOSPITATLITY ,25,N
FTF CULINARY,63560,18,HOS,HOSPITATLITY ,25,N
FTF DENTAL HYGIENCE,57269,11,DHY,DENTAL HYGIENE,18,N
FTF DENTAL HYGIENCE,63844,12,DHY,DENTAL HYGIENE,18,N
FTF DENTAL HYGIENCE,66269,12,DHY,DENTAL HYGIENE,18,N
FTF DEVELOPMENT COORD.,58382,7,N/A,N/A,30,N
FTF DEVELOPMENTAL ENGLISH,71700,29,ENG,ENGLISH ,15,N
FTF DEVELOPMENTAL MATH,68046,21,MAT,MATHEMATICS ,18,N
FTF DRAMA,56743,10,DRA,DRAMA,18,Y
FTF DRAMA,63007,24,DRA,DRAMA,18,Y
FTF EARLY CHILD CARE & ED,56079,2,CCE,EARLY CHILD CARE AND EDUCATION ,20,N
FTF EARLY CHILD CARE & ED,65368,24,CCE ,EARLY CHILD CARE AND EDUCATION ,20,N
FTF ECONOMICS,59767,10,ECO,ECONOMICS ,15,N
FTF ECONOMICS,73376,28,ECO,ECONOMICS ,15,N
FTF ECONOMICS,74179,26,ECO,ECONOMICS ,15,N
FTF ELECTRONICS TECHNOLOGY,67657,19,EET,ELECTRICAL ENGINEERING ,20,N
FTF EMERGENCY MED. TECH.,56079,4,EMT,EMERGENCY MED TECH,25,N
FTF ENGINEERING,66769,3,EGR,ENGINEERING ,20,N
FTF ENGINEERING,71881,26,EGR,ENGINEERING ,20,N
FTF ENGLISH,55096,1,ENG,ENGLISH ,15,N
FTF ENGLISH,55913,4,ENG,ENGLISH ,15,N
FTF ENGLISH,55984,1,ENG,ENGLISH ,15,N
FTF ENGLISH,55984,1,ENG,ENGLISH ,15,N
FTF ENGLISH,55984,2,ENG,ENGLISH ,15,N
FTF ENGLISH,56079,2,ENG,ENGLISH ,15,N
FTF ENGLISH,56079,2,ENG,ENGLISH ,15,N
FTF ENGLISH,56079,3,ENG,ENGLISH ,15,N
FTF ENGLISH,56079,3,ENG,ENGLISH ,15,N
FTF ENGLISH,56210,13,ENG,ENGLISH ,15,N
FTF ENGLISH,56597,12,ENG,ENGLISH ,15,N
FTF ENGLISH,56835,7,ENG,ENGLISH ,15,N
FTF ENGLISH,57381,14,ENG,ENGLISH ,15,N
FTF ENGLISH,57502,14,ENG,ENGLISH ,15,N
FTF ENGLISH,57687,4,ENG,ENGLISH ,15,N
FTF ENGLISH,57771,12,ENG,ENGLISH ,15,N
FTF ENGLISH,58374,15,ENG,ENGLISH ,15,N
FTF ENGLISH,59032,19,ENG,ENGLISH ,15,N
FTF ENGLISH,59461,4,ENG,ENGLISH ,15,N
FTF ENGLISH,59701,9,ENG,ENGLISH ,15,N
FTF ENGLISH,59824,19,ENG,ENGLISH ,15,N
FTF ENGLISH,60066,14,ENG,ENGLISH ,15,N
FTF ENGLISH,60270,24,ENG,ENGLISH ,15,N
FTF ENGLISH,61021,25,ENG,ENGLISH ,15,N
FTF ENGLISH,61885,20,ENG,ENGLISH ,15,N
FTF ENGLISH,62870,17,ENG,ENGLISH ,15,N
FTF ENGLISH,63311,33,ENG,ENGLISH ,15,N
FTF ENGLISH,64140,26,ENG,ENGLISH ,15,N
FTF ENGLISH,65691,28,ENG,ENGLISH ,15,N
FTF ENGLISH,67440,18,ENG,ENGLISH ,15,N
FTF ENGLISH,68827,43,ENG,ENGLISH ,15,N
FTF ENVIRONMENTAL SCIENCE,55984,1,PHS,PHYSICAL SCIENCES ,18,p
FTF ENVIRONMENTAL SCIENCE,58289,10,PHS,PHYSICAL SCIENCES ,18,Y
FTF ESL,54211,1,ESL,ESL,20,N
FTF ESL,55984,1,ESL,ESL,20,N
FTF ESL,55984,1,ESL,ESL,20,N
FTF ESL,55984,1,ESL,ESL,20,N
FTF ESL,56079,2,ESL,ESL,20,N
FTF ESL,56079,2,ESL,ESL,20,N
FTF ESL,56937,3,ESL,ESL,20,N
FTF ESL,57337,11,ESL,ESL,20,N
FTF ESL,58370,13,ESL,ESL,20,N
FTF ESL,58418,8,ESL,ESL,20,N
FTF ESL,58437,4,ESL,ESL,20,N
FTF ESL,58674,13,ESL,ESL,20,N
FTF ESL,60929,17,ESL,ESL,20,N
FTF ESL,62210,17,ESL,ESL,20,N
FTF ESL,63517,19,ESL,ESL,20,N
FTF ESL,63541,18,ESL,ESL,20,N
FTF ESL,63603,25,ESL,ESL,20,N
FTF ESL,64857,26,ESL,ESL,20,N
FTF ESL,66132,29,ESL,ESL,20,N
FTF ESL,66511,25,ESL,ESL,20,N
FTF ESL,67403,27,ESL,ESL,20,N
FTF ESL,69969,27,ESL,ESL,20,N
FTF ESL,71225,23,ESL,ESL,20,N
FTF FOREIGN LANGUAGES,58894,9,FRE,FOREIGN LANGUAGE ,15,N
FTF FOREIGN LANGUAGES,70467,31,FRE,FOREIGN LANGUAGE ,15,N
FTF FRENCH,60170,23,FRE,FRENCH,15,N
FTF FRENCH,62657,21,FRE,FRENCH,15,N
FTF GRAPHIC DESIGN & ILLUS,57484,4,DES,GRAPHIC DESIGN ,20,N
FTF GRAPHIC DESIGN & ILLUS,58784,10,DES,GRAPHIC DESIGN ,20,N
FTF GRAPHIC DESIGN & ILLUS,64516,20,DES,GRAPHIC DESIGN ,20,N
FTF HEAVY DUTY DIESEL,59894,11,AUT,AUTOMOTIVE ,25,N
FTF HISTORY,56079,2,HIS,HISTRORY,15,N
FTF HISTORY,57429,11,HIS,HISTRORY,15,N
FTF HISTORY,58243,14,HIS,HISTRORY,15,N
FTF HISTORY,72982,25,HIS,HISTRORY,15,N
FTF HOSPITALITY,68844,26,HOS,HOSPITATLITY ,25,N
FTF HOSPITALITY MANAGEMENT,57652,5,HOS,HOSPITATLITY ,25,N
FTF HOSPITALITY MANAGEMENT,57730,6,HOS,HOSPITATLITY ,25,N
FTF HOSPITALITY SERVICE,62309,18,HOS,HOSPITATLITY ,25,N
FTF HUMANITIES,56079,3,HUM,HUMANITIES ,15,N
FTF HUMANITIES,73748,46,HUM,HUMANITIES ,15,N
FTF INTENSIVE ENGLISH,59121,1,CIE,INSTITUTE OF ENGLISH ,20,N
FTF INTENSIVE ENGLISH,59121,1,CIE,INSTITUTE OF ENGLISH ,20,N
FTF INTENSIVE ENGLISH,46524.86,17,CIE,INSTITUTE OF ENGLISH ,20,N
FTF INTENSIVE ENGLISH,47592.22,1,CIE,INSTITUTE OF ENGLISH ,20,N
FTF INTENSIVE ENGLISH,47592.22,1,CIE,INSTITUTE OF ENGLISH ,20,N
FTF INTENSIVE ENGLISH,49148.74,1,CIE,INSTITUTE OF ENGLISH ,20,N
FTF INTENSIVE ENGLISH,49148.99,1,CIE,INSTITUTE OF ENGLISH ,20,N
FTF INTENSIVE ENGLISH,57195.78,17,CIE,INSTITUTE OF ENGLISH ,20,N
FTF INTENSIVE ENGLISH,61196.73,3,CIE,INSTITUTE OF ENGLISH ,20,N
FTF INTENSIVE ENGLISH,61553.37,3,CIE,INSTITUTE OF ENGLISH ,20,N
FTF INTENSIVE ENGLISH,61553.37,17,CIE,INSTITUTE OF ENGLISH ,20,N
FTF INTENSIVE ENGLISH,63882.71,17,CIE,INSTITUTE OF ENGLISH ,20,N
FTF INTENSIVE ENGLISH,64808.05,17,CIE,INSTITUTE OF ENGLISH ,20,N
FTF INTENSIVE ENGLISH,66058.11,17,CIE,INSTITUTE OF ENGLISH ,20,N
