Winter 2013,SVI,3552,BCT 111  01,COMP LITERACY APPL FUND,2,TWThF,8:00 AM,SVI0516,"Juanich, g ",20,/,30,0,2.7,2.7,
Winter 2013,SVI,3562,BCT 111  02,COMP LITERACY APPL FUND,2,TWThF,8:00 AM,SVI0509,Cancel 12/12,0,/,30,0,0,0,
Winter 2013,SVI,3474,BCT 123  01,SPREADSHEETS,2,TWThF,9:30 AM,SVI0507,"Kamarainen,d",9,/,30,0,1.2,1.2,
Winter 2013,SVI,3631,BCT 123  01,SPREADSHEETS,2,TWThF,8:00 AM,SVI0506,Cancel 12/12,0,/,30,0,0,0,
Winter 2013,SVI,3475,BCT 124  01,SPREADSHEET PRODUCTION,1,TWThF,8:00 AM,SVI0507,Ferguson t ,9,/,30,0,0.6,0.6,
Winter 2013,SVI,3565,BCT 130  02,WORD PROCESSING,4,TWThF,2:30 PM,SVI0509,Cancel 12/12,0,/,30,0,0,0,
Winter 2013,SVI,3555,BCT 130  01,WORD PROCESSING,4,TWThF,2:30 PM,SVI0509,Ferguson t ,18,/,30,0,4.8,4.8,
Winter 2013,SVI,3575,BCT 130  03,WORD PROCESSING,4,TWThF,2:30 PM,SVI0509,Cancel 12/12,0,/,30,0,0,0,
Winter 2013,SVI,4108,BCT 130  01,WORD PROCESSING,4,TTh,8:00 AM,SVI0410,Ferguson t ,18,/,30,0,4.8,4.3,
Winter 2013,SVI,3473,BCT 131  01,WORD PROCESSING PRODUCTN,1,TWThF,1:00 PM,SVI0507,Ferguson t ,9,/,30,0,0.6,0.6,
Winter 2013,SVI,3561,BOS 103  02,KEYBOARDING SKILLS,3,TWThF,9:30 AM,SVI0509,Cancel 12/12,0,/,30,0,0,0,
Winter 2013,SVI,3551,BOS 103  01,KEYBOARDING SKILLS,3,TWThF,9:30 AM,SVI0516,"Gilman, s ",21,/,30,0,4.2,4.2,
Winter 2013,SVI,4101,BOS 103  01,KEYBOARDING SKILLS,3,TWThF,1:00 PM,SVI0516,"Gilman, s ",17,/,30,0,3.4,3.4,
Winter 2013,SVI,3571,BOS 103  03,KEYBOARDING SKILLS,3,TWThF,9:30 AM,SVI0509,Cancel 12/12,0,/,30,0,0,0,
Winter 2013,SVI,3470,BOS 105  01,KEYBOARDING APPLICATIONS,2,TWThF,8:00 AM,SVI0507,"Kamarainen,d",5,/,30,0,0.8,0.8,
Winter 2013,SVI,3567,BOS 116  02,MATH FUND AND TEN KEY,2,TWThF,11:00 AM,SVI0501,Cancel 12/12,0,/,30,0,0,0,
Winter 2013,SVI,3577,BOS 116  03,MATH FUND AND TEN KEY,2,TWThF,11:00 AM,AVI0501,Cancel 12/12,0,/,30,0,0,0,
Winter 2013,SVI,3557,BOS 116  01,MATH FUND AND TEN KEY,2,TWThF,8:00 AM,SVI0501,"Juanich, g ",19,/,30,0,2.5,2.5,
Winter 2013,SVI,3564,BOS 121  02,OFF PROC COMP OFFICE MGT,2,TWThF,11:00 AM,SVI0507,Cancel 12/12,0,/,30,0,0,0,
Winter 2013,SVI,3574,BOS 121  03,OFF PROC COMP OFFICE MGT,2,TWThF,11:00 AM,SVI0507,"Cancel,12/12",0,/,30,0,0,0,
Winter 2013,SVI,3554,BOS 121  01,OFF PROC COMP OFFICE MGT,2,TWThF,1:00 PM,SVI0509,"Kamarainen,d",18,/,30,0,2.4,2.4,
Winter 2013,SVI,3476,BOS 180  01,OFFICE SIMULATION,4,TWThF,11:00 AM,SVI0507,"Juanich, g ",9,/,30,0,2.4,2.4,
Winter 2013,SVI,3633,BOS 181  02,ADV OFFICE SIMULATION,6,TWThF,8:00 AM,SVI0507,Cancel 12/12,0,/,30,0,0,0,
Winter 2013,SVI,3471,BOS 181  01,ADV OFFICE SIMULATION,6,TWThF,8:00 AM,SVI0507,"Juanich, g ",9,/,30,0,3.3,3.3,
Winter 2013,SVI,1504,BTS 090  04,EDUCATIONAL PLANNING,1,TWTh,1:00 PM,SVI0310,"Jarrett, bar",12,/,30,0,0.8,0.8,
