Quarter,Campus,Item,Course.ID,Title,CREDIT,TYPE.days,Time,Room,Instructor,Enrolled,divider,classCap,Wait.List,FTES.TOTAL,FTES.STATE,Clustered,Type
Fall 2012,Central,694,ENGL&102  06,COMPOSITION II,5,DAILY,10:00 AM,BE 4119,"Jewell, p. ",25,/,25,4,8.3,3.7,,
Fall 2012,Central,695,ENGL&102  07,COMPOSITION II,5,DAILY,10:00 AM,MAC0210,"Kline,barb ",29,/,25,5,9.7,2.3,,
Fall 2012,Central,696,ENGL&102  08,COMPOSITION II,5,DAILY,10:00 AM,BE 4123,"McKENNA, B. ",23,/,25,4,7.7,4.7,,
Fall 2012,Central,697,ENGL&102  09,COMPOSITION II,5,DAILY,11:00 AM,BE 4123,"McKENNA, B. ",26,/,25,2,8.7,6.7,,
Fall 2012,Central,698,ENGL&102  10,COMPOSITION II,5,DAILY,11:00 AM,FA 0406,"Croon, paul ",23,/,25,0,7.7,6,,
Fall 2012,Central,699,ENGL&102  11,COMPOSITION II,5,DAILY,12:00 PM,BE 4136,Bachar ,26,/,25,2,8.7,7,,
Fall 2012,Central,700,ENGL&102  12,COMPOSITION II,5,DAILY,12:00 PM,BE 3167,"Cole, d. ",24,/,25,1,8,3.3,,
Fall 2012,Central,701,ENGL&102  13,COMPOSITION II,5,DAILY,1:00 PM,BE 4134,"Oakley, nada",20,/,25,0,6.7,4.3,,
Fall 2012,Central,702,ENGL&102  HY,COMPOSITION II,5,TTh,1:00 PM,BE 4122,Bachar ,19,/,25,5,6.3,5,,
Fall 2012,Central,703,ENGL&102  14,COMPOSITION II,5,MW,6:00 PM,SAM0203,"Mcentire, a.",21,/,25,0,7,5.3,,
Fall 2012,Central,704,ENGL&102  15,COMPOSITION II,5,TTh,6:00 PM,BE 3193,"Mcentire, a.",25,/,25,0,8.3,6,,
Fall 2012,Central,705,ENGL&102  16,COMPOSITION II,5,DAILY,10:00 AM,BE 4179,"Collins,m ",25,/,25,0,8.3,7,,
Fall 2012,Central,708,ENGL 105  WC,APPLIED COMPOSITION,3,TTh,7:15 AM,WCM0000,Lockman ,17,/,25,0,3.4,3.4,,
Fall 2012,Central,709,ENGL 105  01,APPLIED COMPOSITION,3,WTh,7:30 AM,,Cancel 9/14 ,0,/,25,0,0,0,,
Fall 2012,Central,713,ENGL 106  IT,TECHNICAL WRITING,3,MW,12:00 PM,BE 3173,"Rifas,l. ",23,/,25,0,4.6,4.4,,
Fall 2012,Central,724,ENGL&113  01,INTRO TO POETRY,5,DAILY,11:00 AM,BE 4134,"Cole, d. ",33,/,35,1,11,8.7,,
Fall 2012,Central,730,ENGL&111  01,INTRO TO LITERATURE,5,DAILY,11:00 AM,BE 4137,"Woods, s. ",32,/,35,0,10.7,9.3,,
Fall 2012,Central,738,ENGL 151  01,CREATIVE WRITING,5,DAILY,10:00 AM,BE 4144,"Wyman, jeb ",28,/,25,3,9.3,5.7,,
Fall 2012,Central,745,ENGL 155  VV,WRTG MEDIA II ADV SCTPWR,3,T,10:00 AM,BE 5104,"Tonacchio,s.",16,/,35,0,3.2,3,,
Fall 2012,Central,747,ENGL 214  01,MAJOR BRITISH AUTHORS,5,DAILY,11:00 AM,,Cancel 8/15 ,0,/,35,0,0,0,,
Fall 2012,Central,748,ENGL&224  01,SHAKESPEARE 1,5,DAILY,9:00 AM,BE 4171,"Douma, m. ",30,/,35,0,10,9.3,,
Fall 2012,Central,750,ENGL&245  01,AMERICAN LITERATURE II,5,DAILY,12:00 PM,BE 4134,"Oakley, nada",16,/,35,0,5.3,4.3,,
Fall 2012,Central,755,ENGL 258  01,LIT OF AMERICAN CULTURE,5,DAILY,10:00 AM,BE 4143,"Croon, paul ",27,/,35,0,9,7.7,,
Fall 2012,Central,765,ENGL&254  01,WORLD LITERATURE I,5,DAILY,9:00 AM,,Cancel 9/4 ,0,/,35,0,0,0,,
Fall 2012,Central,768,ENGL 263  01,THE BIBLE AS LITERATURE,5,DAILY,9:00 AM,,Cancel 9/13 ,0,/,35,0,0,0,,
Fall 2012,Central,770,ENGL 265  01,LITERATURE & SOCIETY,5,DAILY,12:00 PM,,Cancel 9/11 ,0,/,35,0,0,0,,
Fall 2012,Central,780,ENGL 298  01,DIR READING/ENGLISH,5,Arr,AR:R M,BE 4128,"Lawson,kenny",2,/,5,0,0.5,0.5,,
Fall 2012,Central,781,ENGL 299  01,INDEPENDENT STUDY,5,Arr,AR:R M,BE 4128,"Lawson,kenny",2,/,5,0,0.2,0.2,,
Fall 2012,Central,805,HUM 105  IP3,IS-S/INTERCULTURAL COMM,5,DAILY,1:00 PM,BE 4106,"Bonsu, osei ",24,/,35,0,8,0,,
Fall 2012,Central,806,HUM 105  01,INTERCULTURAL COMMUNIC,5,DAILY,8:00 AM,BE 4160,"Andresen, t.",28,/,30,1,9.3,6.3,,
Fall 2012,Central,807,HUM 105  02,IS-S/INTERCULTURAL COMM,5,DAILY,9:00 AM,BE 4123,"Al-madani,m.",31,/,35,1,10.3,8.3,,
Fall 2012,Central,808,HUM 105  03,INTERCULTURE COMMUNICATI,5,DAILY,10:00 AM,FA 0302,"Hunt,valerie",30,/,35,1,10,6.7,,
Fall 2012,Central,809,HUM 105  04,INTERCULTURE COMMUNICATI,5,DAILY,1:00 PM,BE 4182,"Hornbeck, r.",29,/,35,6,9.7,8,,
Fall 2012,Central,811,HUM 105  05,INTERCULTURE COMMUNICATI,5,DAILY,11:00 AM,BE 4118,"Abe, daudi ",39,/,35,4,13,3,,
Fall 2012,Central,812,HUM 105  06,IS-S/INTERCULTURAL COMM,5,DAILY,11:00 AM,BE 4143,"Ortoleva, j.",34,/,35,3,11.3,5.3,,
Fall 2012,Central,813,HUM 105  07,IS-S/INTERCULTURAL COMM,5,DAILY,12:00 PM,BE 4135,"Zouari,jawed",30,/,35,2,10,6,,
Fall 2012,Central,816,HUM 105  09,INTERCULTURE COMMUNICATI,5,TTh,6:00 PM,BE 4105,"Bonsu, osei ",30,/,35,2,10,8.7,,
Fall 2012,Central,817,HUM 110  01,INTRODUCTION TO FILM,5,TTh,1:00 PM,BE 4179,"Rifas,l. ",29,/,35,0,9.7,6,,
Fall 2012,Central,818,HUM 125  01,HIP HOP THEORY/CULTURE,5,DAILY,12:00 PM,BE 4118,"Abe, daudi ",36,/,35,0,12,11.3,,
Fall 2012,Central,825,HUM 270  01,SEQUENTIAL ART: HISTORY,5,MW,1:00 PM,,Cancel 9/17 ,0,/,35,0,0,0,,
Fall 2012,Central,826,HUM 294  01,DIR READ IN HUMANITIES,5,Arr,AR:R M,BE 4128,Cancel 11/24,0,/,5,0,0,0,,
Fall 2012,Central,829,HUM 299  01,SP PROBLEMS IN HUMANITIE,5,Arr,AR:R M,BE 4128,"Lawson,kenny",2,/,25,0,0.2,0.2,,
Fall 2012,Central,836,JRN 199  01,IND. STUDY IN JOURNALISM,5,Arr,AR:R M,BE 4128,Cancel 11/24,0,/,5,0,0,0,,
Fall 2012,Central,846,MUSC 100  01,MUSIC IN WESTERN WORLD,5,DAILY,11:00 AM,FA 0405,"Spain,a ",30,/,35,2,10,3.7,,
Fall 2012,Central,847,MUSC&141  01,MUSIC THEORY I,5,DAILY,8:00 AM,BPH0101,Kirk ,24,/,25,2,8,6.3,,
Fall 2012,Central,852,MUSC 113  01,MUSIC IN THE U.S.,5,DAILY,10:00 AM,FA 0405,"Spain,a ",33,/,35,0,11,6,,
Fall 2012,Central,853,MUSC 110  01,INTRO TO WORLD MUSIC,5,DAILY,8:00 AM,BE 4151,Cauter ,37,/,35,0,12.3,3.7,,
Fall 2012,Central,855,MUSC 119  01,BEG. GROUP VOICE,2,MWF,11:00 AM,BPH0202,Mesler ,19,/,0,0,2.5,2,0855B232,
Fall 2012,Central,856,MUSC 120  01,INT GROUP VOCICE,2,MWF,11:00 AM,BPH0202,Mesler ,4,/,15,0,0.5,0.5,0855B232,
Fall 2012,Central,857,MUSC 126  01,BEG GROUP PIANO,2,MWF,8:00 AM,BPH0202,Sasaki ,6,/,0,0,0.8,0.5,0857B232,
Fall 2012,Central,858,MUSC 126  02,BEG GROUP PIANO,2,MWF,9:00 AM,BPH0202,Sasaki ,7,/,0,0,0.9,0.5,0858B232,
Fall 2012,Central,859,MUSC 126  03,BEG GROUP PIANO,2,MWF,10:00 AM,BPH0202,Sasaki ,11,/,0,0,1.5,0.7,0859B232,
Fall 2012,Central,860,MUSC 126  04,BEG GROUP PIANO,2,MWF,1:00 PM,BPH0202,Mesler ,13,/,0,0,1.7,1.3,0860B232,
Fall 2012,Central,861,MUSC 126  05,BEG GROUP PIANO,2,MWF,12:00 PM,BPH0202,Sasaki ,11,/,0,0,1.5,1.3,0861B232,
Fall 2012,Central,867,MUSC 127  01,INT GROUP PIANO-I,2,MWF,8:00 AM,BPH0202,Sasaki ,2,/,0,0,0.3,0,0857B232,
Fall 2012,Central,868,MUSC 127  02,INT GROUP PIANO I,2,MWF,9:00 AM,BPH0202,Sasaki ,6,/,0,0,0.8,0.5,0858B232,
Fall 2012,Central,869,MUSC 127  03,INT GROUP PIANO I,2,MWF,10:00 AM,BPH0202,Sasaki ,2,/,0,0,0.3,0.3,0859B232,
Fall 2012,Central,870,MUSC 127  04,INT GROUP PIANO I,2,MWF,1:00 PM,BPH0202,Mesler ,2,/,0,0,0.3,0.1,0860B232,
Fall 2012,Central,871,MUSC 127  05,INT GROUP PIANO I,2,MWF,12:00 PM,BPH0202,Sasaki ,3,/,0,0,0.4,0.4,0861B232,
Fall 2012,Central,872,MUSC 128  01,INT GROUP PIANO II,2,MWF,8:00 AM,BPH0202,Sasaki ,4,/,0,0,0.5,0.3,0857B232,
Fall 2012,Central,873,MUSC 128  02,INT GROUP PIANO II,2,MWF,9:00 AM,BPH0202,Sasaki ,0,/,0,0,0,0,0858B232,
Fall 2012,Central,874,MUSC 128  03,INT GROUP PIANO II,2,MWF,10:00 AM,BPH0202,Sasaki ,0,/,0,0,0,0,0859B232,
Fall 2012,Central,875,MUSC 128  04,INT GROUP PIANO II,2,MWF,1:00 PM,BPH0202,Mesler ,1,/,0,0,0.1,0.1,0860B232,
Fall 2012,Central,876,MUSC 128  05,INT GROUP PIANO II,2,MWF,12:00 PM,BPH0202,Sasaki ,0,/,0,0,0,0,0861B232,
Fall 2012,Central,877,MUSC 221  01,GROUP PIANO 4TH QTR,2,MWF,8:00 AM,BPH0202,Sasaki ,0,/,0,0,0,0,0857B232,
Fall 2012,Central,878,MUSC 221  02,GROUP PIANO 5TH QTR,2,MWF,9:00 AM,BPH0202,Sasaki ,1,/,0,0,0.1,0,0858B232,
Fall 2012,Central,879,MUSC 221  03,GROUP PIANO 5TH QTR,2,MWF,10:00 AM,BPH0202,Sasaki ,2,/,0,0,0.3,0.3,0859B232,
Fall 2012,Central,880,MUSC 221  04,SECOND YEAR PIANO I,2,MWF,1:00 PM,BPH0202,Mesler ,0,/,0,0,0,0,0860B232,
Fall 2012,Central,881,MUSC 222  01,GROUP PIANO 5TH QTR,2,MWF,8:00 AM,BPH0202,Sasaki ,0,/,0,0,0,0,0857B232,
Fall 2012,Central,882,MUSC 222  02,GROUP PIANO 5TH QTR,2,MWF,9:00 AM,BPH0202,Sasaki ,0,/,0,0,0,0,0858B232,
Fall 2012,Central,883,MUSC 222  03,GROUP PIANO 5TH QTR,2,MWF,10:00 AM,BPH0202,Sasaki ,0,/,0,0,0,0,0859B232,
Fall 2012,Central,884,MUSC 222  04,GROUP PIANO 5TH QTR,2,MWF,1:00 PM,BPH0202,Mesler ,0,/,0,0,0,0,0860B232,
Fall 2012,Central,885,MUSC 223  01,GROUP PIANO 6TH QTR,2,MWF,8:00 AM,BPH0202,Sasaki ,1,/,0,0,0.1,0,0857B232,
Fall 2012,Central,886,MUSC 223  02,GROUP PIANO 6TH QTR,2,MWF,9:00 AM,BPH0202,Sasaki ,0,/,0,0,0,0,0858B232,
Fall 2012,Central,887,MUSC 223  03,GROUP PIANO 6TH QTR,2,MWF,10:00 AM,BPH0202,Sasaki ,0,/,0,0,0,0,0859B232,
Fall 2012,Central,888,MUSC 223  04,GROUP PIANO 6TH QTR,2,MWF,1:00 PM,BPH0202,Mesler ,0,/,0,0,0,0,0860B232,
Fall 2012,Central,890,MUSC 130  01,INDIV VOICE INSTRUCTION,2,Arr,AR:R M,BE 4128,Mesler ,3,/,10,0,0.3,0.3,,
Fall 2012,Central,891,MUSC 171  01,INDIV INSTRUCTION PIANO,2,Arr,AR:R M,BE 4128,Sasaki ,0,/,5,0,0,0,,
Fall 2012,Central,894,MUSC 134  01,IND. INST: WOODWINDS,2,Arr,AR:R M,BE 4128,"Antolin, bob",0,/,15,0,0,0,,
Fall 2012,Central,895,MUSC 135  01,INDIV PERCUS INSTRUCTION,2,Arr,AR:R M,BE 4128,Kirk ,1,/,5,0,0,0,,
Fall 2012,Central,896,MUSC 136  01,INDIV INST COMPOSITION,2,Arr,AR:R M,BE 4128,Mesler ,1,/,5,0,0.1,0.1,,
Fall 2012,Central,897,MUSC 173  02,IND.BRASS INSTRUCTION,2,Arr,AR:R M,BE 4128,Cancel 11/24,0,/,5,0,0,0,,
Fall 2012,Central,898,MUSC 138  01,INDIV GUITAR INSTRUCTION,2,Arr,AR:R M,BE 4128,"Mardis,l. ",5,/,5,0,0.7,0.5,,
Fall 2012,Central,903,MUSC 145  01,POP VOCAL ENSEMBLE,2,MWF,2:00 PM,BPH0202,Mesler ,17,/,25,0,2.3,1.9,,
Fall 2012,Central,904,MUSC 146  01,CENTRAL JAZZ ENSEMBLE,5,MWF,1:00 PM,BPH0101,Kirk ,5,/,0,0,1.7,1.7,0904B232,
Fall 2012,Central,905,MUSC 147  01,CENTRAL JAZZ ENSEMBLE,5,MWF,1:00 PM,BPH0101,Kirk ,2,/,0,0,0.7,0.7,0904B232,
Fall 2012,Central,906,MUSC 148  01,CENTRAL JAZZ ENSEMBLE,5,MWF,1:00 PM,BPH0101,Kirk ,2,/,0,0,0.7,0.7,0904B232,
Fall 2012,Central,912,MUSC 151  01,PERFORMANCE EXPERIENCE,2,TTh,1:00 PM,BPH0101,Mesler ,19,/,25,0,2.5,2.3,,
Fall 2012,Central,913,MUSC 161  01,IS/AMERICAN POPULAR MUSC,5,DAILY,9:00 AM,BPH0101,Cauter ,32,/,35,0,10.7,4.7,,
Fall 2012,Central,914,MUSC 185  01,COMPUTER MUSIC RECORDING,5,MW,10:00 AM,BE 3151,"Kirk, brian ",25,/,25,0,8.3,6.3,,
Fall 2012,Central,921,MUSC 221  05,GROUP PIANO 5TH QTR,2,MWF,12:00 PM,BPH0202,Sasaki ,0,/,0,0,0,0,0861B232,
Fall 2012,Central,922,MUSC 222  05,GROUP PIANO 5TH QTR,2,MWF,12:00 PM,BPH0202,Sasaki ,0,/,0,0,0,0,0861B232,
Fall 2012,Central,923,MUSC 223  05,GROUP PIANO 6TH QTR,2,MWF,12:00 PM,BPH0202,Sasaki ,1,/,0,0,0.1,0.1,0861B232,
Fall 2012,Central,925,MUSC 299  01,PRACTICUM IN MUSIC,5,Arr,AR:R M,BE 4128,Cancel 11/24,0,/,5,0,0,0,,
Fall 2012,Central,935,PHIL&101  01,IS-INTRO TO PHILOSOPHY,5,DAILY,9:00 AM,FA 0406,"Curtis, rich",31,/,35,1,10.3,8.3,,
Fall 2012,Central,936,PHIL&101  02,IS-INTRO TO PHILOSOPHY,5,DAILY,11:00 AM,BPH0101,"Curtis, rich",28,/,35,4,9.3,7,,
Fall 2012,Central,937,PHIL&101  03,IS-INTRO TO PHILOSOPHY,5,DAILY,12:00 PM,BE 4122,"Harms, w. ",35,/,35,2,11.7,9,,
Fall 2012,Central,940,PHIL 102  01,CONT. MORAL PROBLEMS,5,MW,6:00 PM,FA 0302,"Horton, m. ",27,/,35,0,9,7.3,,
Fall 2012,Central,950,PHIL&106  01,INTRO TO LOGIC,5,DAILY,10:00 AM,BE 4158,"Harms, w. ",28,/,25,2,9.3,8,,
Fall 2012,Central,951,PHIL&106  02,INTRO TO LOGIC,5,TTh,12:00 PM,FA 0302,"Horton, m. ",28,/,25,2,9.3,7,,
Fall 2012,Central,952,PHIL&106  03,INTRO TO LOGIC,5,TTh,2:30 PM,FA 0302,"Horton, m. ",30,/,25,2,10,5.7,,
Fall 2012,Central,953,PHIL&106  04,INTRO TO LOGIC,5,TTh,6:00 PM,FA 0406,"Aufrecht, m.",25,/,25,0,8.3,7.7,,
Fall 2012,Central,972,PHIL 298  01,IND.STUDY IN PHILOSOPHY,5,Arr,AR:R M,BE 4128,Cancel 11/24,0,/,5,0,0,0,,
Fall 2012,Central,974,MUSC 130  02,INDIV VOICE INSTRUCTION,2,Arr,AR:R M,BE 4128,Cancel 11/24,0,/,10,0,0,0,,
Fall 2012,Central,975,MUSC 130  03,INDIV VOICE INSTRUCTION,2,Arr,AR:R M,BE 4128,Cancel 12/02,0,/,10,0,0,0,,
Fall 2012,Central,978,MUSC 130  05,INDIV VOICE INSTRUCTION,2,Arr,AR:R M,BE 4128,Cancel 11/24,0,/,10,0,0,0,,
Fall 2012,Central,981,MUSC 171  02,INDIV INSTRUCTION PIANO,2,Arr,AR:R M,BE 4128,Mesler ,2,/,5,0,0.1,0.1,,
Fall 2012,Central,982,MUSC 171  03,INDIV INSTRUCTION PIANO,2,Arr,AR:R M,BE 4128,"Willrich,d ",3,/,5,0,0.4,0.1,,
Fall 2012,Central,988,MUSC 138  02,INDIV GUITAR INSTRUCTION,2,Arr,AR:R M,BE 4128,Cancel 11/24,0,/,5,0,0,0,,
Fall 2012,Central,989,MUSC 138  03,INDIV GUITAR INSTRUCTION,2,Arr,AR:R M,BE 4128,Contreras ,4,/,5,0,0.5,0.5,,
Fall 2012,Central,1000,ASTR&100  01,SURVEY OF ASTRONOMY,5,DAILY,9:00 AM,BE 4182,"Faust, d. ",36,/,35,5,12,8.7,,
Fall 2012,Central,1001,ASTR&100  02,SURVEY OF ASTRONOMY,5,DAILY,11:00 AM,BE 3212,"Waterbury, m",45,/,35,2,15,8,,
Fall 2012,Central,1006,BIOL&100  01,SURVEY OF BIOLOGY,5,MTTh,9:00 AM,SAM0203,Campbell ,21,/,24,3,7,5.7,,
Fall 2012,Central,1007,BIOL&100  02,SURVEY OF BIOLOGY,5,MTTh,10:00 AM,SAM0203,"Wiseley,john",24,/,24,4,8,6.3,,
Fall 2012,Central,1013,BIOL 103  CA,"NUTRITION, FOOD SERVICE",3,TTh,2:00 PM,BE 4148,"Wilson, c. ",25,/,35,0,5,5,,
Fall 2012,Central,1015,BIOL 107  01,INTRO TO COMPARATIVE ANI,5,MTTh,1:00 PM,SAM0103,"Moffat,john ",21,/,24,1,7,5.7,,
Fall 2012,Central,1018,BIOL 128  01,SURVEY OF HUMAN ANAT/PHY,5,WF,9:00 AM,SAM0203,"Blackwell, r",23,/,24,0,7.7,7.3,,
Fall 2012,Central,1019,BIOL 128  02,SURVEY OF HUMAN ANAT/PHY,5,TWThF,11:00 AM,SAM0104,"Schwab, ian ",23,/,24,1,7.7,7.3,,
Fall 2012,Central,1021,BIOL&160  01,GENERAL BIOLOGY W/ LAB,5,MWF,8:00 AM,SAM0105,"Baum, kira ",22,/,24,2,7.3,6.7,,
Fall 2012,Central,1022,BIOL&160  02,GENERAL BIOLOGY W/ LAB,5,MWF,10:00 AM,SAM0105,"Ainsworth,m.",23,/,24,5,7.7,6.7,,
Fall 2012,Central,1023,BIOL&160  03,GENERAL BIOLOGY W/ LAB,5,MWF,12:00 PM,SAM0203,"Greene, j. ",25,/,24,1,8.3,5.3,,
Fall 2012,Central,1024,BIOL&160  04,GENERAL BIOLOGY W/ LAB,5,MWF,2:00 PM,SAM0104,"Davis, anna ",19,/,24,4,6.3,5.7,,
